               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12458,            0.027236,                   0,            0.012745,           0.0039683,           0.0035328,          0.00075173,              0.1118,            0.019337,                   0,              0.0784,              0.0024,              0.0024
                   1,             0.10526,             0.02425,                   0,            0.013863,             0.32937,            0.021831,             0.00531,            0.091721,             0.01835,                   0,            0.055868,           0.0048677,           0.0048677
                   2,            0.086489,            0.026822,                   0,             0.08169,              0.1369,            0.042339,           0.0090395,            0.093593,            0.016766,                   0,            0.033302,           0.0073023,           0.0073023
                   3,            0.078753,            0.025233,                   0,             0.31212,             0.34921,             0.21435,            0.052773,            0.075763,            0.015013,                   0,            0.010704,            0.009704,            0.009704
                   4,            0.072097,            0.021775,                   0,             0.44391,             0.41667,              0.3372,             0.10001,            0.064108,            0.020352,                   0,            0.009736,            0.009736,            0.009736
                   5,             0.06627,            0.021462,                   0,             0.49634,             0.45437,             0.39287,             0.10816,            0.062486,             0.01652,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.061637,            0.019748,                   0,             0.54186,             0.49045,             0.42943,             0.11974,            0.057186,             0.01502,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.05959,            0.016747,                   0,              0.7304,             0.60317,             0.65829,             0.23117,            0.050756,             0.01418,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.056866,            0.015988,                   0,             0.74894,             0.61555,              0.6721,              0.2127,            0.052314,            0.012327,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.054186,            0.016086,                   0,             0.75325,             0.66626,             0.69276,             0.24213,             0.05309,            0.011627,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.053499,            0.014678,                   0,             0.74817,             0.69556,             0.70391,             0.24239,            0.052351,            0.011437,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.052704,            0.014605,                   0,             0.80075,             0.71032,             0.76266,             0.26236,            0.052933,            0.010473,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.051438,            0.014517,                   0,             0.83503,             0.73313,             0.77111,             0.31305,            0.047361,            0.010632,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.048683,            0.013235,                   0,             0.82831,             0.65873,              0.7388,             0.29471,            0.046033,            0.011756,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.048466,            0.013751,                   0,             0.82289,             0.70833,             0.78581,             0.32195,            0.046403,            0.010687,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.046836,            0.013192,                   0,             0.82341,             0.70314,             0.76631,             0.32176,            0.047193,              0.0111,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.048055,            0.012574,                   0,             0.77984,             0.73611,             0.78116,             0.30864,            0.045489,            0.010924,                   0,             0.00901,             0.00901,             0.00901
