               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10579,             0.08381,                   0,                0.27,              0.2591,             0.19932,            0.060422,            0.085654,            0.092892,                   0,            0.070353,           0.0032941,           0.0032941
                   1,            0.076394,            0.078774,                   0,             0.31842,             0.36972,             0.29266,             0.10882,            0.077683,            0.068188,                   0,            0.040309,           0.0065837,           0.0065837
                   2,            0.068726,            0.076446,                   0,             0.40987,             0.47768,             0.41778,             0.18003,            0.063176,            0.067543,                   0,            0.010221,           0.0098293,           0.0098293
                   3,            0.060723,            0.074867,                   0,             0.65496,             0.60262,             0.65723,             0.29757,            0.051799,            0.063812,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.053821,            0.075807,                   0,             0.68204,             0.58588,             0.65008,             0.34935,            0.048706,            0.064196,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.051667,             0.07085,                   0,              0.7369,             0.64483,             0.70966,             0.38048,            0.046474,             0.06336,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.049084,            0.073034,                   0,             0.78981,             0.64847,             0.73964,             0.43138,              0.0406,            0.064374,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.047836,            0.070018,                   0,             0.73563,             0.67032,             0.74429,             0.40976,            0.042433,            0.061381,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.046075,             0.07219,                   0,             0.75301,             0.67896,             0.76125,             0.42724,            0.041729,            0.061295,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.045782,            0.070048,                   0,             0.73649,             0.67331,              0.7447,             0.42335,            0.041159,            0.061863,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.044409,            0.072451,                   0,              0.7831,              0.6754,             0.76529,             0.45571,            0.038914,            0.060966,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.043696,            0.068823,                   0,             0.78141,             0.69287,             0.77645,             0.45079,            0.038379,            0.060302,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.043285,            0.070246,                   0,             0.75472,             0.68975,             0.77029,             0.46157,            0.038469,            0.060561,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.041195,             0.06799,                   0,             0.76635,             0.68987,             0.77135,             0.47183,            0.037629,            0.060739,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.041919,            0.067805,                   0,             0.76869,             0.70378,              0.7879,             0.47765,            0.036166,            0.060385,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.040944,            0.068211,                   0,             0.78107,              0.6751,             0.77476,             0.47624,            0.037533,            0.060311,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.039738,            0.067852,                   0,             0.80087,             0.67322,             0.78162,             0.48075,            0.037206,            0.060269,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.040148,             0.06735,                   0,             0.79303,             0.68881,             0.78711,             0.47388,            0.037504,            0.059852,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.040018,            0.065454,                   0,             0.78495,             0.67686,             0.77713,             0.50046,            0.035455,            0.060143,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.039542,            0.066094,                   0,             0.77963,              0.6936,             0.78457,              0.4753,            0.036605,            0.060185,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.038723,            0.066606,                   0,              0.7848,             0.69796,             0.78817,             0.49661,            0.035741,            0.060498,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.038847,            0.064927,                   0,              0.7737,             0.71033,             0.79285,             0.50282,            0.034667,            0.059065,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.038237,              0.0656,                   0,              0.7692,             0.72707,             0.80187,              0.5111,            0.034357,            0.058411,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.037868,            0.066104,                   0,             0.79444,             0.70888,             0.79656,             0.49532,             0.03566,            0.059709,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.036887,            0.065437,                   0,              0.7655,              0.7278,             0.79444,               0.505,            0.035055,            0.060099,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.037351,            0.066237,                   0,              0.7781,             0.71543,             0.80728,             0.50894,            0.034796,            0.058875,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.037583,            0.061988,                   0,              0.7947,              0.6874,             0.79041,             0.51184,            0.034039,             0.05934,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.036461,            0.063457,                   0,             0.81972,             0.67249,             0.78801,             0.49596,            0.034984,            0.059911,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.036838,            0.065306,                   0,             0.79383,             0.68658,             0.79257,             0.50356,            0.034432,            0.059864,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.035859,             0.06336,                   0,             0.78126,             0.72525,             0.80426,             0.52008,               0.034,            0.058865,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.036189,            0.062692,                   0,             0.80422,             0.70233,             0.80705,             0.52383,            0.033451,            0.058386,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.035108,            0.061529,                   0,              0.8118,             0.68996,              0.8025,             0.51283,            0.033892,             0.05986,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.035553,            0.062804,                   0,             0.79053,             0.73362,             0.81164,             0.52282,            0.033174,            0.057996,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.035149,            0.060819,                   0,             0.80433,             0.72698,             0.81155,             0.51699,            0.034164,            0.057716,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.035827,            0.061687,                   0,             0.78509,             0.73654,              0.8184,              0.5299,            0.032816,            0.057073,                   0,            0.007822,            0.007822,            0.007822
                  35,             0.03563,            0.063217,                   0,             0.79523,             0.72198,              0.8002,             0.52087,            0.033232,            0.058445,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.034327,            0.061991,                   0,             0.80974,             0.70314,             0.80806,             0.53137,             0.03305,            0.058477,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.034981,            0.061017,                   0,             0.77057,             0.73581,             0.81163,             0.52769,             0.03355,            0.058095,                   0,            0.007624,            0.007624,            0.007624
                  38,             0.03451,            0.062323,                   0,             0.76875,             0.73435,             0.81294,             0.52758,            0.032628,            0.058405,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.034438,            0.061049,                   0,             0.81852,             0.70306,             0.81603,             0.52872,            0.033115,             0.05878,                   0,            0.007492,            0.007492,            0.007492
                  40,             0.03405,            0.062214,                   0,             0.78631,             0.73111,             0.81428,             0.53111,            0.032496,            0.057979,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.034356,            0.059672,                   0,             0.80817,             0.71747,             0.80927,             0.52466,            0.033343,            0.058783,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.034548,            0.061922,                   0,             0.77428,             0.72707,             0.81048,             0.53671,             0.03239,            0.058115,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.034168,             0.06192,                   0,             0.80341,             0.72277,             0.81257,             0.53789,            0.033187,            0.058253,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.033892,            0.061067,                   0,             0.79714,             0.71907,             0.81557,             0.53957,            0.032445,            0.057867,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.033699,            0.061559,                   0,             0.80672,             0.70015,             0.80088,             0.53324,            0.033509,            0.059051,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.033749,            0.058825,                   0,             0.79933,             0.70306,             0.81018,             0.53514,            0.032969,            0.058326,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.033095,            0.058777,                   0,              0.8032,             0.72772,              0.8181,             0.53984,            0.032491,            0.058152,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.032996,            0.059921,                   0,             0.80494,             0.72981,               0.823,             0.54723,            0.031811,             0.05732,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.032885,            0.059231,                   0,             0.79855,             0.73872,             0.82062,             0.54288,            0.031749,             0.05728,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.033704,            0.062105,                   0,             0.77403,             0.74381,             0.81906,             0.54292,            0.031602,            0.057761,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.032387,            0.056799,                   0,             0.80013,             0.73945,             0.81913,             0.54251,            0.032043,            0.057592,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.032485,            0.058743,                   0,             0.80351,             0.72562,             0.81988,             0.54212,            0.032236,              0.0583,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.033119,            0.060746,                   0,             0.79828,             0.71429,             0.80512,             0.53786,             0.03214,            0.058859,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.032466,            0.058113,                   0,             0.82573,             0.70233,             0.81299,             0.54291,            0.031936,            0.058862,                   0,            0.006502,            0.006502,            0.006502
                  55,             0.03251,            0.058949,                   0,             0.81123,             0.70687,             0.81686,             0.54373,            0.032435,            0.057852,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.032386,            0.059234,                   0,             0.79172,             0.74381,              0.8169,             0.54777,             0.03205,            0.057177,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.032222,            0.058353,                   0,             0.80252,             0.75328,             0.82334,             0.54599,            0.031754,            0.057071,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.032305,            0.059354,                   0,             0.81575,             0.72853,             0.82148,             0.55053,            0.031592,            0.057613,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.031776,            0.057378,                   0,             0.81035,             0.70905,             0.81162,             0.54212,             0.03218,            0.058934,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.031938,            0.058476,                   0,             0.79793,              0.7278,             0.81476,             0.54621,            0.032276,            0.058258,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.031465,            0.056179,                   0,              0.8291,             0.71689,             0.81767,             0.55037,            0.032126,            0.059004,                   0,             0.00604,             0.00604,             0.00604
                  62,             0.03213,            0.058267,                   0,             0.79931,             0.72052,             0.81247,             0.54027,            0.032447,            0.059039,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.031515,            0.056768,                   0,             0.81348,             0.69515,             0.80255,             0.53488,            0.033413,             0.05988,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.031662,            0.058569,                   0,             0.81272,             0.72643,              0.8194,             0.54576,            0.031613,            0.058398,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.030994,            0.054457,                   0,             0.80787,             0.73654,             0.82116,             0.54849,            0.031708,              0.0584,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.031417,            0.058012,                   0,             0.84351,             0.73361,             0.83268,             0.55653,            0.031269,            0.056865,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.031188,            0.058175,                   0,             0.83113,             0.70742,             0.81424,              0.5458,            0.031515,            0.058089,                   0,            0.005644,            0.005644,            0.005644
                  68,             0.03112,             0.05626,                   0,             0.80924,             0.74098,             0.82252,             0.55199,             0.03145,            0.058178,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.030845,            0.054942,                   0,             0.83506,             0.71834,             0.82753,             0.55425,            0.031175,            0.057527,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.031071,            0.055465,                   0,             0.82443,             0.72451,             0.81519,              0.5473,            0.031946,            0.058613,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.031044,            0.057446,                   0,             0.80976,              0.7198,             0.81444,              0.5512,            0.031277,            0.058115,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.030666,            0.056511,                   0,             0.80105,             0.71793,              0.8166,             0.55062,             0.03181,             0.05828,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.030513,            0.056267,                   0,             0.80082,             0.74017,             0.82861,             0.55982,            0.030773,            0.057119,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.030157,            0.054709,                   0,             0.83642,             0.70815,              0.8195,             0.55442,            0.031526,            0.058292,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.030313,             0.05637,                   0,              0.8025,             0.72452,             0.81793,             0.55265,            0.030967,            0.057764,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.030078,            0.055385,                   0,             0.79087,               0.746,              0.8144,             0.55428,             0.03135,            0.058938,                   0,             0.00505,             0.00505,             0.00505
                  77,             0.03086,            0.057618,                   0,             0.77237,             0.73945,             0.81726,              0.5494,            0.031421,              0.0581,                   0,            0.004984,            0.004984,            0.004984
                  78,              0.0301,            0.055061,                   0,             0.81147,             0.72364,             0.81689,             0.55482,            0.031351,            0.058424,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.030338,            0.056417,                   0,             0.81178,             0.71881,             0.82292,             0.56165,            0.030448,            0.058137,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.030071,             0.05601,                   0,             0.80351,             0.72853,             0.81622,             0.55745,            0.031481,            0.058842,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.029559,            0.055405,                   0,             0.80016,             0.75109,               0.825,              0.5572,            0.030911,            0.057932,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.029639,            0.054801,                   0,             0.79119,             0.72853,             0.81636,             0.55428,            0.031396,             0.05813,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.029413,             0.05362,                   0,             0.78949,             0.73426,             0.81055,              0.5511,            0.031546,            0.059096,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.029514,             0.05568,                   0,             0.82366,             0.72198,             0.83084,             0.56202,            0.030887,            0.057992,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.029535,             0.05618,                   0,             0.81499,             0.71761,             0.81507,             0.55297,            0.031274,            0.058941,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.029611,            0.056232,                   0,             0.79776,             0.73654,             0.80988,             0.54981,            0.031815,            0.059269,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.029213,            0.053202,                   0,             0.82273,             0.70597,             0.81246,             0.55531,            0.031175,            0.058456,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.029423,            0.055501,                   0,             0.82824,             0.74381,             0.82921,              0.5645,            0.030735,            0.057985,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.029304,            0.054401,                   0,             0.82693,             0.74072,             0.82803,             0.56008,            0.030975,            0.057694,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.029059,            0.053484,                   0,             0.80147,             0.74454,              0.8208,             0.56154,            0.030624,            0.057998,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.029067,            0.054742,                   0,             0.81419,             0.71616,             0.81416,             0.55662,            0.031065,            0.059541,                   0,             0.00406,             0.00406,             0.00406
                  92,             0.02934,            0.054938,                   0,             0.80165,               0.746,             0.82456,             0.56247,            0.030604,            0.058183,                   0,            0.003994,            0.003994,            0.003994
                  93,             0.02882,            0.053871,                   0,             0.81757,             0.73061,             0.82328,             0.55714,            0.030796,            0.058625,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.029056,            0.056015,                   0,             0.81834,              0.7278,             0.82188,             0.55684,            0.031021,            0.058463,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.028541,            0.051865,                   0,             0.82967,             0.71968,             0.81363,             0.55456,            0.031086,            0.059933,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.028855,            0.053445,                   0,             0.82324,             0.72125,             0.82155,             0.56113,            0.030939,            0.058547,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.028627,            0.052059,                   0,              0.8228,             0.73333,             0.82905,             0.56159,            0.030614,            0.058558,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.028397,            0.052585,                   0,             0.81922,             0.72888,             0.82211,             0.56049,            0.030444,            0.058964,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.028332,            0.052214,                   0,             0.82096,             0.74818,             0.83137,             0.56366,            0.030307,            0.058735,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.028513,            0.053319,                   0,             0.83759,             0.72064,             0.82121,             0.55967,            0.030998,            0.059643,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.028581,            0.054547,                   0,             0.81962,              0.7329,             0.82249,              0.5615,            0.030365,            0.059332,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.027758,            0.052967,                   0,             0.80663,             0.76508,             0.82777,             0.56468,            0.030392,            0.058723,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.028226,            0.053093,                   0,             0.82053,             0.73539,              0.8186,             0.56041,            0.030669,            0.059427,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.028292,            0.052525,                   0,             0.81731,             0.73435,             0.81642,             0.56052,            0.030428,            0.059996,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.028024,            0.052064,                   0,             0.81571,             0.74416,             0.81841,             0.56267,            0.030827,            0.059761,                   0,            0.003136,            0.003136,            0.003136
                 106,             0.02801,            0.053015,                   0,             0.77992,             0.74537,             0.81142,              0.5578,            0.030922,            0.060321,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.027882,            0.052591,                   0,             0.83614,              0.7205,             0.82161,             0.56109,            0.030764,            0.059604,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.027808,             0.05313,                   0,             0.81505,             0.73448,              0.8231,             0.56346,            0.030393,            0.059537,                   0,            0.002938,            0.002938,            0.002938
                 109,             0.02765,            0.052363,                   0,             0.82686,              0.7409,             0.82229,             0.56386,            0.030918,            0.059312,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.027411,            0.051656,                   0,             0.80382,             0.74381,             0.82344,             0.56259,            0.030592,            0.059314,                   0,            0.002806,            0.002806,            0.002806
                 111,              0.0275,            0.051509,                   0,             0.81858,             0.74215,             0.82466,             0.57008,            0.030443,            0.059202,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.027937,            0.051242,                   0,             0.81181,             0.72635,             0.81905,              0.5633,            0.030404,            0.059703,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.027851,            0.051833,                   0,             0.82315,             0.72635,             0.81857,             0.55968,            0.031043,            0.059969,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.027251,             0.05075,                   0,             0.82091,             0.74381,             0.82271,             0.56519,            0.030528,            0.059618,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.027223,             0.05048,                   0,             0.81763,             0.74818,             0.82905,             0.56375,            0.030421,            0.059559,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.027224,            0.051522,                   0,             0.81888,             0.74163,             0.82757,             0.56894,            0.030314,            0.059285,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.027255,            0.051782,                   0,             0.82133,             0.74381,             0.82458,             0.56822,            0.030211,            0.060276,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.026758,            0.050998,                   0,             0.81557,             0.74022,             0.81257,             0.55388,            0.030936,            0.061012,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.026738,            0.050773,                   0,             0.83432,             0.72566,             0.82434,             0.56996,            0.030183,            0.059002,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.026729,            0.049959,                   0,             0.83568,              0.7278,             0.82033,             0.56523,            0.030512,            0.060004,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.027137,            0.049949,                   0,             0.80613,              0.7409,             0.81791,             0.56585,            0.030594,            0.060783,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.026439,            0.049104,                   0,             0.82986,             0.73435,             0.82372,             0.56648,            0.030577,            0.060197,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.026986,            0.051251,                   0,             0.81522,             0.73435,             0.82228,             0.56996,            0.030274,            0.059412,                   0,            0.001948,            0.001948,            0.001948
                 124,             0.02724,            0.051582,                   0,             0.84124,             0.74046,             0.82421,             0.56888,             0.03038,            0.059491,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.026468,            0.050225,                   0,             0.84265,             0.72853,             0.82074,             0.56903,            0.030434,            0.059706,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.026526,            0.051518,                   0,              0.8032,             0.74964,             0.82242,             0.56894,            0.030408,            0.059713,                   0,             0.00175,             0.00175,             0.00175
                 127,             0.02675,            0.051242,                   0,             0.84236,             0.72724,             0.82576,             0.57058,            0.030005,            0.058936,                   0,            0.001684,            0.001684,            0.001684
                 128,             0.02634,            0.050225,                   0,             0.83393,             0.75546,             0.82846,             0.57476,            0.029948,            0.059968,                   0,            0.001618,            0.001618,            0.001618
                 129,             0.02674,            0.049856,                   0,             0.84218,             0.73362,             0.82562,             0.57163,            0.030081,            0.060356,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.026572,            0.051749,                   0,             0.84289,             0.73016,             0.82276,              0.5695,            0.030288,            0.060509,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.026299,            0.051094,                   0,             0.81906,             0.75182,             0.82688,              0.5734,            0.030198,            0.059776,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.026115,            0.050461,                   0,             0.83284,             0.73609,             0.82346,             0.57163,            0.030272,            0.059953,                   0,            0.001354,            0.001354,            0.001354
                 133,             0.02657,            0.051085,                   0,             0.84101,             0.73217,             0.82137,             0.56812,            0.030524,            0.060646,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.026085,            0.049546,                   0,             0.83119,             0.73821,             0.82181,             0.57291,            0.030234,            0.060657,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.026505,            0.049901,                   0,               0.841,              0.7314,             0.82572,             0.57287,            0.030291,            0.060228,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.026187,            0.049739,                   0,             0.84518,             0.73501,             0.82347,              0.5719,            0.030218,            0.059984,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.025527,            0.047334,                   0,             0.83284,             0.74527,             0.82564,             0.57306,            0.030144,            0.059867,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.025696,            0.048241,                   0,              0.8555,             0.73144,             0.82788,             0.57409,            0.030041,            0.060102,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.026035,            0.049193,                   0,             0.84245,             0.73581,             0.82365,             0.57322,            0.030085,            0.060126,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.025417,            0.048395,                   0,             0.84492,             0.72271,              0.8228,             0.57151,            0.029891,            0.060915,                   0,            0.000826,            0.000826,            0.000826
                 141,             0.02609,            0.048812,                   0,              0.8429,              0.7278,             0.82109,             0.56758,            0.030184,            0.060917,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.025815,            0.047652,                   0,             0.82821,             0.74037,             0.82024,             0.57051,            0.030054,            0.061301,                   0,            0.000694,            0.000694,            0.000694
