               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073977,            0.016615,                   0,             0.25156,             0.60825,             0.24261,             0.13375,            0.018493,             0.01286,                   0,            0.070063,           0.0033263,           0.0033263
                   1,             0.04694,            0.011513,                   0,             0.37669,             0.69008,              0.3853,             0.20986,            0.018588,            0.010445,                   0,            0.040019,           0.0066157,           0.0066157
                   2,            0.044713,           0.0097985,                   0,              0.3646,             0.62436,             0.39543,              0.2233,            0.018128,            0.010319,                   0,           0.0099315,            0.009861,            0.009861
                   3,            0.042684,           0.0091157,                   0,             0.40523,             0.68526,             0.46983,             0.27771,             0.01606,           0.0097369,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.038902,            0.008919,                   0,               0.423,             0.58892,             0.45351,             0.26595,            0.016117,           0.0099917,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.037727,           0.0086722,                   0,             0.47944,             0.68943,             0.57004,             0.35215,            0.015303,           0.0089684,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.034471,           0.0084133,                   0,             0.48017,             0.68299,             0.55781,             0.35882,            0.014593,           0.0089936,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.033842,           0.0079121,                   0,             0.51633,             0.65013,             0.56915,             0.37009,            0.013581,            0.010624,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.032502,           0.0077118,                   0,             0.60484,             0.74807,             0.70681,             0.46863,            0.013593,           0.0082734,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.031705,              0.0075,                   0,             0.56615,             0.69283,             0.67082,             0.43758,            0.013435,           0.0081446,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.032048,            0.007394,                   0,             0.58593,              0.6933,             0.64909,             0.41704,            0.013923,           0.0081624,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.030612,           0.0073474,                   0,             0.71813,             0.72874,             0.77789,             0.52601,            0.013115,           0.0072179,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.029695,           0.0071659,                   0,             0.56525,             0.74034,             0.65438,             0.44364,            0.012619,           0.0078902,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.030305,           0.0070217,                   0,             0.54849,             0.75533,             0.66739,             0.46018,            0.012768,           0.0078457,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.029723,           0.0070926,                   0,             0.57373,             0.72101,             0.67472,             0.45947,            0.012764,           0.0081133,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.028867,           0.0068822,                   0,             0.56514,             0.66319,             0.62696,             0.42902,            0.012877,           0.0084401,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.029063,           0.0064151,                   0,             0.71687,              0.7684,             0.78835,             0.54404,             0.01202,           0.0067441,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.028857,           0.0065074,                   0,             0.66682,             0.70941,             0.72453,              0.5044,            0.012315,           0.0089174,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.028272,           0.0066504,                   0,             0.65341,             0.74936,             0.75279,             0.52578,            0.012058,           0.0072866,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.027577,           0.0064559,                   0,             0.68126,             0.80026,             0.79669,             0.56584,            0.011741,           0.0067579,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.027499,           0.0065778,                   0,             0.73232,             0.74227,             0.78248,             0.54291,            0.011966,           0.0069417,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.027221,           0.0063619,                   0,             0.70699,             0.73905,             0.77254,             0.54707,            0.011827,           0.0069617,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.027262,           0.0064198,                   0,             0.74684,             0.77771,             0.82548,             0.58445,            0.011678,           0.0065153,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.026569,           0.0061157,                   0,             0.69402,             0.80381,             0.81265,             0.58189,            0.011769,           0.0065006,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.026286,           0.0060677,                   0,             0.73434,             0.74807,             0.80008,             0.57351,            0.011671,           0.0068488,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.026985,           0.0062046,                   0,             0.63542,             0.76362,             0.75873,             0.54282,            0.011177,             0.00702,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.026355,             0.00628,                   0,             0.76723,             0.76675,             0.83487,             0.60117,            0.011401,           0.0062894,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.026205,            0.005971,                   0,             0.73284,             0.77964,             0.81929,             0.58916,            0.011388,           0.0064891,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.025496,           0.0057564,                   0,             0.77408,             0.79961,             0.85756,             0.62679,            0.011266,           0.0060916,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.025841,           0.0059907,                   0,             0.76081,              0.8009,             0.84322,             0.61605,             0.01133,           0.0061508,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.025713,           0.0060319,                   0,             0.79151,              0.7732,             0.85853,             0.62344,            0.011111,           0.0060952,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.024726,           0.0058227,                   0,             0.77906,             0.79972,             0.85883,             0.63007,            0.011052,           0.0060059,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.025045,           0.0057456,                   0,             0.77944,             0.80541,              0.8622,             0.63996,            0.011086,           0.0060021,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.024916,           0.0057803,                   0,             0.76577,             0.78544,             0.85023,             0.61913,            0.011377,           0.0061625,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.025136,           0.0058812,                   0,              0.7448,             0.80297,             0.83416,             0.60634,            0.011101,           0.0061669,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.025215,            0.005921,                   0,             0.78624,             0.79704,             0.85617,             0.63119,            0.011023,           0.0060399,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.025002,           0.0057455,                   0,             0.79301,             0.80473,             0.86457,             0.63567,            0.010817,           0.0059356,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.024073,           0.0056695,                   0,             0.79021,             0.80735,             0.85964,             0.63805,            0.010774,           0.0060192,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.023965,           0.0056106,                   0,             0.80865,             0.78967,             0.86342,             0.64135,            0.010755,           0.0059077,                   0,            0.007558,            0.007558,            0.007558
                  39,             0.02388,           0.0056312,                   0,             0.80225,             0.82281,              0.8805,             0.65929,            0.010624,           0.0056174,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.023936,           0.0055836,                   0,             0.78473,             0.80606,             0.86375,             0.64457,            0.010789,           0.0057917,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.024147,           0.0054793,                   0,             0.79735,             0.80365,             0.87201,                0.65,             0.01105,           0.0058508,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.024309,           0.0055157,                   0,             0.77621,              0.8224,             0.87693,             0.65867,            0.010677,           0.0057831,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.024164,             0.00553,                   0,             0.81221,             0.82211,             0.88487,             0.65981,             0.01072,           0.0056438,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.023597,           0.0053455,                   0,             0.80596,             0.82088,             0.88639,             0.66762,            0.010545,           0.0056106,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.023889,           0.0052975,                   0,             0.81095,             0.81537,             0.88599,             0.67154,            0.010469,           0.0055972,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.023283,            0.005097,                   0,             0.82236,             0.82324,             0.89394,             0.67605,            0.010272,           0.0054322,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.023606,           0.0052944,                   0,             0.82926,             0.80113,             0.88285,             0.66627,            0.010622,           0.0057245,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.023602,           0.0054913,                   0,             0.79433,             0.83892,             0.88932,             0.67149,            0.010651,           0.0054796,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.023087,             0.00542,                   0,             0.81737,             0.82474,             0.89529,             0.67413,            0.010442,           0.0054439,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.022959,           0.0053852,                   0,             0.78959,             0.83247,             0.88675,             0.67491,            0.010406,            0.005515,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.023119,           0.0051967,                   0,             0.81767,             0.81775,              0.8955,             0.67623,            0.010646,           0.0055295,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.023533,           0.0052578,                   0,             0.83986,             0.81441,             0.89599,             0.68786,            0.010374,           0.0053888,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.023292,           0.0053541,                   0,             0.84649,             0.81362,             0.89957,              0.6877,            0.010257,           0.0053175,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.023194,             0.00504,                   0,             0.82081,             0.83524,             0.89633,             0.68727,             0.01005,           0.0054179,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.022836,           0.0051464,                   0,               0.814,             0.84085,             0.89777,             0.68474,            0.010084,           0.0054994,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.022815,           0.0050518,                   0,              0.8307,              0.8357,             0.89967,             0.69048,            0.010296,           0.0053318,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.022465,           0.0050505,                   0,             0.84039,             0.82778,             0.90194,             0.69125,            0.010152,           0.0053669,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.022999,           0.0050403,                   0,             0.82605,             0.83533,             0.89806,             0.69543,            0.010059,           0.0053686,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.022274,           0.0050587,                   0,             0.82781,             0.82603,             0.89231,             0.68959,            0.010308,           0.0053021,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.022621,           0.0051071,                   0,             0.83199,             0.84085,              0.9032,             0.69839,            0.010112,            0.005242,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.021805,           0.0048702,                   0,              0.8429,             0.82152,             0.90384,             0.69999,            0.010177,           0.0052692,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.022339,           0.0049618,                   0,             0.83579,             0.84284,             0.90679,             0.70143,            0.010139,           0.0052347,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.022017,           0.0049946,                   0,              0.8326,             0.84472,             0.90516,             0.70095,            0.010036,           0.0052583,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.022291,           0.0048614,                   0,             0.83984,             0.83455,             0.90169,             0.70054,            0.010078,           0.0052405,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.022453,           0.0049612,                   0,             0.86093,             0.82566,             0.90491,             0.70034,            0.010061,           0.0052971,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.021987,           0.0048885,                   0,             0.86244,              0.8125,             0.90463,              0.7031,            0.010031,           0.0052894,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.022112,           0.0048534,                   0,             0.86592,              0.8125,             0.90731,             0.70747,            0.010062,           0.0052078,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.021483,            0.004785,                   0,             0.85959,             0.81057,             0.90214,             0.70475,            0.010068,           0.0052876,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.021829,           0.0048265,                   0,              0.8622,             0.81034,             0.90745,             0.70698,            0.010023,           0.0052173,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.021248,           0.0049765,                   0,             0.86309,             0.81644,             0.91178,             0.70947,           0.0098896,           0.0051953,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.021429,           0.0047047,                   0,             0.85293,             0.82603,              0.9077,             0.71022,           0.0097489,           0.0052516,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.021808,           0.0047988,                   0,             0.85498,             0.82861,             0.90884,             0.70918,           0.0097038,           0.0052157,                   0,            0.005314,            0.005314,            0.005314
                  73,             0.02155,            0.004708,                   0,             0.84718,             0.83634,             0.90713,             0.70576,           0.0098692,           0.0051897,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.020712,           0.0045332,                   0,             0.83786,             0.85235,             0.90943,             0.71228,           0.0096678,           0.0051052,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.021057,           0.0045427,                   0,             0.83644,             0.85346,             0.91274,             0.71373,           0.0098172,           0.0051256,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.021228,           0.0046536,                   0,             0.82728,             0.85374,              0.9105,             0.71121,           0.0097937,            0.005108,                   0,             0.00505,             0.00505,             0.00505
                  77,             0.02099,           0.0046179,                   0,             0.84527,             0.84126,             0.91155,             0.71501,           0.0098465,           0.0051021,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.021579,           0.0047383,                   0,              0.8483,              0.8323,             0.90548,              0.7111,           0.0099297,           0.0051719,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.020478,           0.0045764,                   0,             0.86468,             0.81933,             0.90596,             0.71231,           0.0097716,           0.0051412,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.020232,           0.0044931,                   0,             0.86228,             0.83511,             0.91065,             0.71675,           0.0097941,           0.0050846,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.020704,           0.0043919,                   0,             0.87349,             0.81414,             0.90865,             0.71671,           0.0097465,           0.0050843,                   0,             0.00472,             0.00472,             0.00472
