               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071695,             0.11085,                   0,             0.57068,             0.44396,             0.49925,             0.25274,            0.054046,            0.082606,                   0,            0.070353,           0.0032941,           0.0032941
                   1,            0.055095,            0.085559,                   0,             0.67503,             0.55313,             0.62765,             0.33784,            0.046803,            0.073312,                   0,            0.040309,           0.0065837,           0.0065837
                   2,            0.050798,            0.080555,                   0,             0.74187,             0.60242,             0.68346,              0.3738,            0.043638,            0.068529,                   0,            0.010221,           0.0098293,           0.0098293
                   3,            0.049272,            0.076045,                   0,             0.75345,             0.62955,             0.71841,             0.35612,            0.046871,            0.064644,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.046115,            0.074806,                   0,             0.74312,             0.64047,             0.73764,             0.41462,            0.041718,            0.063779,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.045059,            0.070412,                   0,             0.78196,             0.64471,             0.75036,             0.43993,            0.039257,            0.061653,                   0,            0.009736,            0.009736,            0.009736
                   6,             0.04358,            0.072463,                   0,             0.75215,             0.68268,             0.75126,             0.44297,            0.038737,            0.064559,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.042804,            0.069411,                   0,             0.78624,             0.66376,             0.76212,             0.44309,            0.039444,            0.061418,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.043038,            0.071852,                   0,             0.75986,             0.63173,             0.73667,             0.41883,             0.04095,             0.06412,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.041733,            0.069372,                   0,             0.76731,             0.66885,              0.7606,              0.4638,              0.0375,            0.060961,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.041716,             0.07174,                   0,             0.78092,             0.69432,             0.77804,             0.48187,            0.036583,            0.060334,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.041191,            0.068277,                   0,             0.76691,             0.71907,             0.78433,             0.47458,            0.036738,            0.060347,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.041326,            0.069813,                   0,             0.76913,             0.68777,             0.77517,             0.47213,            0.036577,            0.060089,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.039212,            0.067368,                   0,             0.77629,             0.70524,             0.78787,             0.49635,            0.035648,            0.060252,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.039983,            0.067431,                   0,             0.77134,             0.71179,             0.78942,             0.49213,            0.035091,            0.059395,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.039282,            0.067699,                   0,             0.77944,             0.69141,              0.7779,             0.49518,            0.035344,            0.059901,                   0,            0.009076,            0.009076,            0.009076
                  16,             0.03882,            0.067584,                   0,             0.75022,             0.70742,             0.77585,             0.47794,            0.037339,            0.060519,                   0,             0.00901,             0.00901,             0.00901
                  17,              0.0388,            0.067126,                   0,             0.78119,             0.71196,             0.78426,             0.50602,            0.034741,             0.05948,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.038301,            0.064878,                   0,             0.77551,             0.68387,             0.78483,              0.5048,             0.03449,            0.059277,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.038695,            0.065823,                   0,             0.77065,             0.71165,             0.78361,             0.48466,            0.035986,            0.059596,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.037745,            0.066426,                   0,             0.78928,             0.70059,             0.78788,             0.50173,            0.034332,            0.058595,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.038055,            0.064764,                   0,                0.78,             0.70888,             0.79571,             0.51192,            0.033503,            0.058636,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.037666,            0.065622,                   0,              0.7521,             0.71397,             0.78317,             0.50764,            0.034717,            0.059067,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.037003,            0.065921,                   0,             0.78975,             0.70961,             0.79711,             0.50214,            0.034927,            0.059053,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.036849,            0.065435,                   0,             0.79969,             0.70025,             0.79489,               0.511,            0.034442,            0.059997,                   0,            0.008482,            0.008482,            0.008482
