               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033876,              0.0108,                   0,             0.32615,             0.67719,             0.36128,             0.23432,            0.014028,           0.0097212,                   0,            0.070063,           0.0033263,           0.0033263
                   1,             0.03421,           0.0083879,                   0,             0.47731,              0.7107,             0.52725,             0.34708,            0.015007,           0.0087881,                   0,            0.040019,           0.0066157,           0.0066157
                   2,            0.036567,           0.0078928,                   0,             0.42052,              0.6864,             0.47243,             0.28248,            0.015546,           0.0091065,                   0,           0.0099315,            0.009861,            0.009861
                   3,             0.03702,           0.0079298,                   0,             0.49582,             0.68878,             0.57068,             0.36459,            0.015053,           0.0085852,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.034846,           0.0078089,                   0,             0.50952,             0.68206,             0.51858,             0.33075,            0.014696,           0.0084553,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.033649,           0.0075456,                   0,             0.54049,             0.66753,             0.60517,             0.37636,            0.014192,           0.0090255,                   0,            0.009736,            0.009736,            0.009736
                   6,             0.03175,           0.0072902,                   0,             0.64809,             0.73647,             0.72571,             0.48087,             0.01335,           0.0072473,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.031669,           0.0069647,                   0,             0.64905,             0.77577,              0.7332,             0.50877,            0.012659,           0.0070794,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.030742,           0.0070062,                   0,             0.65288,             0.70103,              0.6995,             0.48332,            0.013042,           0.0080521,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.029583,           0.0066355,                   0,             0.66302,             0.68686,             0.70819,             0.47192,            0.012992,            0.008057,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.030062,           0.0066429,                   0,             0.61144,             0.67731,             0.67045,             0.45544,             0.01342,           0.0085307,                   0,            0.009406,            0.009406,            0.009406
                  11,             0.02911,           0.0066665,                   0,             0.75311,             0.72134,             0.79643,             0.55178,            0.012643,           0.0067729,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.027896,             0.00646,                   0,             0.66091,             0.72213,             0.74325,             0.51908,            0.012324,           0.0072158,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.028802,           0.0065466,                   0,             0.66832,              0.7634,             0.75986,             0.53452,            0.012706,           0.0069566,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.028472,           0.0064341,                   0,             0.70422,             0.76552,             0.77282,             0.54162,            0.012025,           0.0068481,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.027122,           0.0061923,                   0,             0.72763,              0.7893,              0.8128,             0.58099,            0.012165,            0.006229,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.027699,           0.0059066,                   0,             0.70917,             0.72874,             0.77315,             0.55089,            0.012108,           0.0067989,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.027619,           0.0059673,                   0,             0.75816,             0.75451,             0.82194,             0.58815,            0.012027,           0.0063958,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.026976,           0.0062244,                   0,             0.70342,              0.7893,             0.79874,             0.58118,            0.011469,           0.0066441,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.026517,           0.0060147,                   0,             0.72071,             0.78977,             0.81777,             0.57897,            0.011705,           0.0062852,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.026445,           0.0060851,                   0,             0.73898,             0.78479,             0.80418,             0.58983,            0.011252,           0.0062542,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.026283,           0.0059323,                   0,              0.7146,             0.77599,             0.80302,             0.58461,            0.011359,            0.006569,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.025981,           0.0058762,                   0,             0.76738,             0.81198,             0.83987,             0.60988,            0.011319,           0.0059969,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.025433,           0.0058031,                   0,             0.76767,             0.76933,             0.82969,             0.60302,            0.011256,           0.0061915,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.025353,           0.0057064,                   0,             0.74729,             0.75193,             0.80183,             0.57475,            0.011521,           0.0072065,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.025808,           0.0058106,                   0,             0.75271,             0.80928,             0.83278,             0.61066,            0.011221,           0.0061805,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.025285,           0.0057953,                   0,               0.781,             0.76546,             0.83767,             0.61146,            0.010998,           0.0061124,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.024954,           0.0055289,                   0,             0.77321,             0.82281,             0.86643,             0.62941,            0.011029,           0.0058184,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.024574,            0.005402,                   0,             0.79983,             0.80843,             0.85443,               0.624,            0.011165,           0.0059636,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.025553,           0.0057085,                   0,             0.76458,             0.82238,             0.83864,               0.615,            0.010991,           0.0058503,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.024945,           0.0057055,                   0,             0.77168,             0.80863,             0.86332,             0.63954,            0.011006,           0.0058705,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.024167,           0.0055435,                   0,             0.77799,             0.81894,             0.85682,             0.64265,            0.010703,           0.0057536,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.024508,           0.0054814,                   0,             0.79734,             0.80026,             0.87044,              0.6567,            0.010652,           0.0057719,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.024094,           0.0054979,                   0,             0.79465,              0.8303,             0.87209,             0.65004,            0.010909,           0.0056736,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.024539,           0.0054971,                   0,             0.77373,             0.80799,              0.8461,             0.62832,            0.010848,           0.0058872,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.024656,           0.0056239,                   0,               0.801,             0.83511,             0.87502,              0.6539,            0.010864,           0.0056142,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.024089,           0.0053072,                   0,             0.80722,             0.82925,             0.87648,             0.65995,            0.010599,           0.0055285,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.023441,           0.0053033,                   0,             0.79413,             0.84753,             0.88533,             0.66851,            0.010582,           0.0054667,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.023225,            0.005262,                   0,             0.82902,             0.81765,             0.87946,             0.66397,            0.010712,            0.005371,                   0,            0.007558,            0.007558,            0.007558
